# STAR T-pose vertices
# Vertex count: 6890
# Format: x y z
0.149135 -0.253441 0.095316
0.049245 -0.381431 -0.070616
0.019853 -0.368999 -0.061695
0.161917 -0.409633 0.096780
0.160584 -0.446433 0.093266
0.133582 -0.449275 0.120994
0.135667 -0.414287 0.123304
0.102756 -0.415016 0.134109
0.099983 -0.447520 0.131049
0.007956 -0.375423 0.098349
0.008691 -0.382573 0.094638
0.024687 -0.368466 0.118830
0.019412 -0.357596 0.124735
0.027121 -0.319681 -0.113352
0.058761 -0.324185 -0.114158
0.059274 -0.343005 -0.106749
0.026577 -0.336567 -0.105299
0.109017 -0.134232 -0.066634
0.106202 -0.115699 -0.067191
0.085581 -0.115846 -0.075184
0.083051 -0.095073 -0.076300
0.103539 -0.095922 -0.068959
0.087960 0.037135 -0.106017
0.096881 0.056641 -0.108813
0.117047 0.043634 -0.096723
0.109052 0.026319 -0.094926
